parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular
version,Schema Version,const,The version of this schema,1,,,,,,,
model,Model,hidden,UNIX path to the model file,0.1,,,,,yes,,
key,Encryption Key,hidden,Encryption key,tlt_encode,,,,,yes,,
experiment_spec,Experiment Spec,hidden,UNIX path to the Experiment spec file used to train the model. This may be the train or retrain spec file.,,,,,,yes,,
output_file,Output File,hidden,UNIX path to where the pruned model will be saved.,,,,,,yes,,
data_type,Pruning Granularity,string,Number of filters to remove at a time.,fp32,,,,"fp32, fp16",yes,,yes
max_workspace_size,,integer,"Example: The integer value of 1<<30, 2<<30",,,,,,,,
max_batch_size,,integer,,,1,,,,,,
engine_file,Engine File,hidden,UNIX path to the model engine file.,,,,,,yes,,
verbose,,hidden,,TRUE,,,,,,,
strict_type_constraints,,bool,,FALSE,,,,,,,
results_dir,,hidden,,,,,,,,,
target_opset,,int,,12,,,,,,,